pair	filenameA	filenameB	baseline	baselineType	path	new_score	new_type	verdict	stability	other_run_score	new_rationale
127/247	20240813-_DSF8392.jpg	20241101-_DSF0811.jpg	0.95	ironic	validate	0.75	ironic	SURVIVE		0.75	"Text ""let's celebrate my 35th!"" in one image is lived in the other: ""Her expression is joyful, with a wide smile"" — celebration joy."
157/247	20250426-_DSF5335.jpg	20241101-_DSF0811.jpg	1.00	ironic	validate	0.75	ironic	SURVIVE		0.75	"Text ""let's celebrate my 35th!"" in one image is lived in the other: ""a festival or outdoor event"" — celebration."
239/666	20200531-DSCF4319.jpg	20200704-L1001455.jpg	0.85	complementary	cold	0.75	ironic	SURVIVE		0.80	"Text ""blm."" in one image is lived in the other: ""Her arms are raised, palms facing forward"" — protest."
29/692	20250426-R0015770.jpg	20250510-_DSF0778.jpg	0.95	contrastive	validate	0.90	contrastive	SURVIVE		0.90	"""A small black dog with brown markings lies beside her, its head resti…"" ↔ ""A framed painting of a dog hangs on the wall above the desk."" — the same thing real in one frame, depicted in the other."
33/572	20250217-_DSF4799.jpg	20250405-_R014662.jpg	1.00	complementary	validate	0.95	complementary	SURVIVE		0.95	"""holding a megaphone and speaking to a crowd"" meets ""hands cupping her ears as if blocking out noise"" — source and receiver of one phenomenon."
37/572	20250315-_DSF9077.jpg	20250405-_R014662.jpg	1.00	complementary	validate	0.95	complementary	SURVIVE		0.95	"""speaking into the megaphone"" meets ""hands cupping her ears as if blocking out noise"" — source and receiver of one phenomenon."
4/259	20240813-_DSF8179.jpg	96-20250823-_DSF6565.jpg	1.00	ironic	validate	0.95	ironic	SURVIVE	PARSE_FAIL_ONE_RUN	PARSE_FAIL	"Text ""smile you're beautiful"" in one image is lived in the other: ""a slight smile on her face"" — smiling."
4/874	20240813-_DSF8179.jpg	07-20190120-_G130022.jpg	0.95	ironic	validate	0.95	ironic	SURVIVE		0.95	"Text ""smile"" in one image is lived in the other: ""her eyes closed and a slight smile on her face"" — smiling."
40/259	20250208-_DSF2403.jpg	96-20250823-_DSF6565.jpg	1.00	ironic	validate	0.95	ironic	SURVIVE		0.95	"Text ""smile you're beautiful"" in one image is lived in the other: ""She smiles and looks to her right"" — smiling."
40/572	20250208-_DSF2403.jpg	20250405-_R014662.jpg	1.00	complementary	validate	0.75	ironic	SURVIVE		0.75	"Text ""deportation back to scam."" in one image is lived in the other: ""her hands cupping her ears as if blocking out noise"" — blocking out reality."
417/507	20250124-_DSF0913.jpg	20200531-DSCF4226.jpg	1.00	ironic	validate	0.75	ironic	SURVIVE		0.75	"Text ""ignoring is ignorance."" in one image is lived in the other: ""She looks down at the ground as she walks"" — disregard."
50/572	20250315-_DSF9076.jpg	20250405-_R014662.jpg	1.00	complementary	validate	0.95	complementary	SURVIVE		0.95	"""holding a megaphone to his mouth"" meets ""hands cupping her ears as if blocking out noise"" — source and receiver of one phenomenon."
707/931	20250405-_R014466.jpg	20240704-L1008984.jpg	1.00	ironic	validate	0.75	ironic	SURVIVE		0.75	"Text ""racism is not patriotism."" in one image is lived in the other: ""She holds an American flag aloft, waving it vigorously."" — political disagreement."
94/259	20241101-_DSF0802.jpg	96-20250823-_DSF6565.jpg	1.00	ironic	validate	0.95	ironic	SURVIVE		0.95	"Text ""smile you're beautiful"" in one image is lived in the other: ""The man in the brown shirt is smiling"" — smiling."
102/1007	20250515-_DSF1956.jpg	20250217-_DSF4780.jpg	0.95	ironic	validate	0.00	none	DROP		0.00	No caption-verifiable link between the two images.
11/259	20250426-R0015823.jpg	96-20250823-_DSF6565.jpg	0.95	ironic	validate	0.00	none	DROP		0.00	The scene span does not live or subvert the sign's message — coexistence, not a third meaning.
11/874	20250426-R0015823.jpg	07-20190120-_G130022.jpg	1.00	ironic	validate	0.00	none	DROP		0.00	The scene span does not live or subvert the sign's message — coexistence, not a third meaning.
124/822	88-20250709-R0024458.jpg	94-20250802-_DSF4201.jpg	1.00	contrastive	validate	0.00	none	DROP	FLIPS_ACROSS_RUNS	0.90	Only a shared category links the images — While IMAGE A does not explicitly state the woman's gaze direction or any interaction with others, there is a contrast in that IM….
126/441	20250405-_DSF0855.jpg	60-20250501-_DSF6985.jpg	0.95	ironic	validate	0.00	none	DROP		0.00	The scene span does not live or subvert the sign's message — coexistence, not a third meaning.
13/572	06-20170624-nyc-rdm-080183.jpg	20250405-_R014662.jpg	1.00	echo	validate	0.00	none	DROP		0.00	The phenomenon does not cross the pair — the reaction is not to what the source produces.
